2025-02-25기준 3년 연속 배당금이 상승한 기업 리스트

맵스리얼티1 : 250원 -> 250원 -> 265원 -> 265원 
기업은행 : 471원 -> 780원 -> 960원 -> 984원 
코리안리 : 324원 -> 311원 -> 458원 -> 515원 
한일현대시멘트 : 1,200원 -> 600원 -> 700원 -> 900원 
효성ITX : 750원 -> 750원 -> 750원 -> 750원 
키움증권 : 3,500원 -> 3,000원 -> 3,000원 -> 7,500원 
한일시멘트 : 540원 -> 580원 -> 800원 -> 1,000원 
이노션 : 900원 -> 1,075원 -> 1,175원 -> 1,175원 
삼성카드 : 2,300원 -> 2,500원 -> 2,500원 -> 2,800원 
한세예스24홀딩스 : 250원 -> 250원 -> 250원 -> 250원 
삼양사우 : 1,300원 -> 1,300원 -> 1,800원 -> 1,800원 
SK텔레콤 : 2,660원 -> 3,320원 -> 3,540원 -> 3,540원 
LG유플러스 : 550원 -> 650원 -> 650원 -> 650원 
세아베스틸지주 : 1,500원 -> 1,200원 -> 1,200원 -> 1,200원 
롯데리츠 : 292원 -> 300원 -> 200원 -> 213원 
TKG휴켐스 : 1,000원 -> 1,000원 -> 1,000원 -> 1,000원 
미래에셋증권우 : 330원 -> 220원 -> 165원 -> 275원 
미래에셋증권2우B : 300원 -> 200원 -> 150원 -> 250원 
삼성FN리츠 : 0원 -> 0원 -> 195원 -> 272원 
현대차 : 5,000원 -> 7,000원 -> 11,400원 -> 12,000원 
삼양홀딩스우 : 3,050원 -> 3,550원 -> 3,550원 -> 3,550원 
롯데쇼핑 : 2,800원 -> 3,300원 -> 3,800원 -> 3,800원 
하나금융지주 : 3,100원 -> 3,350원 -> 3,400원 -> 3,600원 
한화생명 : 30원 -> 0원 -> 0원 -> 150원 
에이스침대 : 1,330원 -> 1,330원 -> 1,400원 -> 1,450원 
SK케미칼우 : 3,050원 -> 1,550원 -> 700원 -> 1,200원 
SK우 : 8,050원 -> 5,050원 -> 5,050원 -> 7,050원 
KG이니시스 : 400원 -> 400원 -> 420원 -> 500원 
에이블씨엔씨 : 0원 -> 0원 -> 1,427원 -> 411원 
이퓨쳐 : 0원 -> 0원 -> 0원 -> 250원 
